,ImageNet synset,Grasp,Lift,Throw,Push,Fix,Ride,Play,Watch,SitOn,Feed,Row,PourFrom,LookThrough,WriteWith,TypeOn
automobile_engine.n.01,n02761557,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
axe.n.01,n02764044,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
bicycle.n.01,n02834778,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0
bottle.n.01,n02876657,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
camera.n.01,n02942699,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0
can.n.01,n02946921,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
car_tire.n.01,n02971167,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
carving_knife.n.01,n02973904,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
chair.n.01,n03001627,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
chalk.n.04,n03003091,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
cleaver.n.01,n03041632,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
desktop_computer.n.01,n03180011,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1
dish.n.01,n03206908,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
dog.n.01,n02084071,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
dustcloth.n.01,n03258330,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
fishing_pole.n.01,n03351979,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
food_turner.n.01,n04500060,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
frisbee.n.01,n03397947,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
guitar.n.01,n03467517,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
hand_saw.n.01,n03488188,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
handset.n.01,n03488438,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
horse.n.01,n02374451,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
laptop.n.01,n03642806,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1
microscope.n.01,n03760671,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0
mobile_phone.n.01,n02992529,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
mop.n.01,n04367480,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
pen.n.01,n03906997,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
pitcher.n.02,n03950228,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
power_saw.n.01,n03996145,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
shopping_cart.n.01,n04204347,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
small_boat.n.01,n04244997,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
sofa.n.01,n04256520,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
teapot.n.01,n04398044,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
telescope.n.01,n04403638,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0
television.n.03,n04405907,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
toothbrush.n.01,n04453156,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
umbrella.n.01,n04507155,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
vacuum_cleaner.n.01,n04517823,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
violin.n.01,n04536866,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
wheelbarrow.n.01,n02797295,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0
banjo.n.01,n02787622,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
bench.n.01,n02828884,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
bowl.n.01,n02881193,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
broom.n.01,n02906734,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
camel.n.01,n02437136,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
cat.n.01,n02121620,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
coffee_cup.n.01,n03063073,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
donkey.n.02,n02389559,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
flagon.n.01,n03355768,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
hammer.n.02,n03481172,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
hand_truck.n.01,n03490119,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0
kayak.n.01,n03609235,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
monitor.n.04,n03782190,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
motorcycle.n.01,n03790512,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
pencil.n.01,n03908204,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
rhinoceros.n.01,n02391994,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
serving_cart.n.01,n04176068,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0
sickle.n.01,n04213353,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
spoon.n.01,n04284002,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
stool.n.01,n04326896,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
typewriter.n.01,n04505036,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
walkie-talkie.n.01,n04545858,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
